,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10,ex11,exam_max
84,100,0,0,0,0,0,0,0,0,0,0,
85,100,100,81.59,94.72,87.30,55.79,60.86,76.98,45,100,100,75
86,100,100,100,100,100,83.77,95,56.72,94,97,100,88
87,100,96.14,100,84.67,100,98.91,96.88,76.50,100,100,72,96
88,100,100,92.18,88.56,96.59,91.25,93.75,66.05,61.86,100,36,87
89,100,86.86,88.49,72.67,0,99.40,62.50,64.41,95,100,100,79
90,100,95.91,92.38,97.22,96.67,93.07,95.09,87.40,53.45,100,98.91,59
91,100,95.25,83.13,97.04,96.04,99.03,90.21,91.88,91.97,99,97.20,87
92,100,100,95,100,100,100,96.88,94.89,97.38,99,100,90
93,100,98,95.39,100,94.91,93.19,100,90.76,92,100,100,96
94,100,90.04,87.14,60.81,35.46,90.58,100,92.44,55.63,99,100,59
95,100,92,98,78,86.83,95.06,92.50,37.20,100,97,100,77
96,100,100,83.53,100,100,98.91,90.62,100,90,99,100,85
97,100,100,100,100,100,98.73,100,100,97.93,100,100,92
98,100,99.47,100,100,98.67,100,95.83,99.30,98.84,100,97.20,94
99,100,95.25,99.60,100,97.42,94.22,93.75,93.40,90,98,100,97
100,100,95.95,97.27,98.89,100,91.25,95.83,97.90,90,100,0,85
101,100,100,9.60,0,0,0,0,0,0,0,0,
102,100,0,31.42,0,0,0,0,0,0,0,0,
103,100,100,92.99,91.93,87.33,89.60,69.97,0,61.79,100,48,89
104,100,100,98.77,100,100,97.68,92.19,100,78.71,95,97.20,85
105,100,24,28.05,58.61,65.33,97.98,100,9.40,45.12,100,0,51
106,100,95.25,95.52,98.89,100,84.29,90.18,97.34,95.97,93,0,90
107,100,44.02,70.91,0,0,0,0,0,0,0,0,
108,100,100,95.19,100,100,100,86.46,87.40,87.35,100,97.20,59
109,100,93.16,82.62,86.74,97.33,100,88.57,0,0,0,0,54
110,100,95.08,96.93,71.56,0,77.79,96.46,89.40,33.95,100,97.20,81
111,100,97.50,98.50,72.67,96.67,100,88.10,94.96,94,99,100,92
112,100,99.78,88.72,88.96,100,88.76,88.39,98.63,96,100,97.20,91
113,100,95.91,89.24,69.11,61.55,59.86,90.42,20,0,0,0,
114,100,87.08,100,100,100,100,93.75,91.50,100,100,100,99
115,100,94.67,97.55,100,100,91.25,84.15,99.40,96.94,100,98.91,98
116,100,100,95.50,100,97.41,100,95.83,93,96,98,100,96
117,100,95.25,94,100,100,95.74,83.93,98.20,91.39,100,0,79
118,100,58.24,70.34,0,0,0,0,0,0,0,0,
119,100,94.50,97,70.83,96.67,92.16,96.88,47.29,98,100,37.09,94
120,100,91.99,87.27,84.67,39.01,89.43,78.54,95.66,92,100,100,75
121,100,95.67,98.77,100,100,100,100,99.40,94,96,100,81
122,100,100,95.59,98.89,95.33,99.85,96.88,97.90,87.89,94,100,86
123,100,95.25,83.21,77.11,100,81.83,96.88,57,82.77,99,91.20,86
124,100,95.91,98.31,100,93.33,93.07,90.92,87.33,83.97,100,100,93
125,100,93.11,90.80,98.89,100,99.70,97.92,91.62,90.26,99,100,95
126,100,85.60,98.31,100,100,100,100,92.58,88,99,98.91,83
127,100,100,96.32,87.81,100,100,96.88,94.54,99.97,100,100,88
128,100,95.25,65.85,100,100,96.50,72.05,90.76,86,95,98.91,79
129,100,93.97,98.65,93.78,93.46,98.46,95,82.02,94,100,98.91,89
130,100,100,76.83,98.89,89.54,28.15,44.72,50.36,50.96,100,53.62,82
131,31.67,21.07,62.50,0,0,0,0,0,0,0,0,
132,92.50,83.49,97.55,100,94.65,82.20,92.71,86.36,95.38,90,96.11,91
133,100,95.25,100,100,91.91,98.91,93.75,100,96,100,100,92
134,100,100,98.31,100,100,100,100,98.88,100,100,98.91,100
135,100,99.47,98.77,100,100,99.10,95.83,97.90,86.67,100,100,85
136,100,100,100,86.67,100,97.98,100,93.90,94,100,100,85
137,100,100,87.13,94.44,94.09,99.70,95.83,75.54,85.93,98,97.20,78
138,100,97.83,100,100,100,100,100,100,100,100,100,97
139,90,93.41,96.77,79.70,94.09,99.70,97.92,71.10,90,100,62.80,88
140,100,97.17,95.15,98.89,100,99.70,96.88,89.40,100,100,100,93
141,100,100,90.27,83.56,100,94.34,97.92,91.88,87.50,93,100,81
142,90,99.78,95.42,98.89,65.31,98.91,96.88,88.70,85.43,95,97.20,88
143,100,94,80.43,0,96.67,99.40,70.80,49.35,0,100,0,57
144,100,98,96.41,98.89,68.65,100,96.88,92.08,45,95,91.60,59
145,100,4.74,100,100,100,90.58,95.83,68.14,98,100,100,99
146,100,93.97,97.55,100,100,0,100,85.20,100,100,90,100
147,100,95.25,94.21,97.04,92.90,98.91,96.43,80.96,84,100,100,89
148,100,2,0,0,0,0,0,0,0,0,0,
149,100,98,88.77,80.44,82.12,93.55,96.88,80.98,100,100,100,81
150,100,100,97.55,100,100,100,96.88,91.66,96,100,97.20,88
151,100,97.75,91.56,98,100,82.20,93.75,20,0,100,70.91,59
152,100,99.17,84.94,82.44,100,55.79,97.50,99.40,84.57,100,46.64,86
153,100,100,86.14,71,100,87.29,91.46,92.58,86.77,100,100,88
154,100,98,98.10,85.63,100,97.14,100,87.53,80,100,97.20,82
155,100,97.42,98.77,100,100,99.33,93.75,92.44,92,100,97.20,87
156,100,84.27,99.60,100,100,98.65,100,99.70,87.38,100,57.82,90
